,_CASE_KEY,Variant,Customer_ID,Revenue,Costs,Pizza Type,Pizza Size,Customer Satisfaction,Cost Factor,Weekday,Daytime,Distribution Channel,Customer Location,Customer Type,Customer_Location,Customer_Type,SORTING,EVENTTIME,ACTIVITY_EN,Automation
37,822,1,13,49,11,Salami,Large,3,Chef 2,Sunday,20,BestOrder Inc.,Munich District Two,Teenager,Munich District Three,Teenager,6580,2018-04-20 12:40:39,Departure pizza,A
38,822,1,13,49,11,Salami,Large,3,Chef 2,Sunday,20,BestOrder Inc.,Munich District Two,Teenager,Munich District Three,Teenager,6581,2018-04-20 12:42:39,Pizza arrives at customer,A
39,822,1,13,49,11,Salami,Large,3,Chef 2,Sunday,20,BestOrder Inc.,Munich District Two,Teenager,Munich District Three,Teenager,6582,2018-04-20 12:58:39,Payment customer,B
40,243,1,13,21,60,Funghi,Small,0,Chef 2,Saturday,18,BestOrder Inc.,Munich District Three,Adult,Munich District Three,Teenager,2010,2018-06-09 11:18:33,Order by phone,A
41,243,1,13,21,60,Funghi,Small,0,Chef 2,Saturday,18,BestOrder Inc.,Munich District Three,Adult,Munich District Three,Teenager,2011,2018-06-09 11:21:33,Start preparing pizza,A
42,243,1,13,21,60,Funghi,Small,0,Chef 2,Saturday,18,BestOrder Inc.,Munich District Three,Adult,Munich District Three,Teenager,2012,2018-06-09 11:21:33,Start baking pizza,A
43,243,1,13,21,60,Funghi,Small,0,Chef 2,Saturday,18,BestOrder Inc.,Munich District Three,Adult,Munich District Three,Teenager,2013,2018-06-09 11:31:33,Baking pizza ready,A
44,243,1,13,21,60,Funghi,Small,0,Chef 2,Saturday,18,BestOrder Inc.,Munich District Three,Adult,Munich District Three,Teenager,2014,2018-06-09 11:33:33,Plan route,A
45,243,1,13,21,60,Funghi,Small,0,Chef 2,Saturday,18,BestOrder Inc.,Munich District Three,Adult,Munich District Three,Teenager,2015,2018-06-09 11:38:33,Departure pizza,A
46,243,1,13,21,60,Funghi,Small,0,Chef 2,Saturday,18,BestOrder Inc.,Munich District Three,Adult,Munich District Three,Teenager,2016,2018-06-09 11:40:33,Pizza arrives at customer,A
47,243,1,13,21,60,Funghi,Small,0,Chef 2,Saturday,18,BestOrder Inc.,Munich District Three,Adult,Munich District Three,Teenager,2017,2018-06-09 11:53:33,Payment customer,A
48,1118,1,13,60,50,Salami,Small,1,Phone Bill,Sunday,12,TownExpress Inc. ,Munich District Three,Student,Munich District Three,Teenager,8871,2018-03-22 03:21:21,Order by phone,B
49,1118,1,13,60,50,Salami,Small,1,Phone Bill,Sunday,12,TownExpress Inc. ,Munich District Three,Student,Munich District Three,Teenager,8872,2018-03-22 03:22:21,Start preparing pizza,A
50,1118,1,13,60,50,Salami,Small,1,Phone Bill,Sunday,12,TownExpress Inc. ,Munich District Three,Student,Munich District Three,Teenager,8873,2018-03-22 03:23:21,Baking pizza ready,A
51,1118,1,13,60,50,Salami,Small,1,Phone Bill,Sunday,12,TownExpress Inc. ,Munich District Three,Student,Munich District Three,Teenager,8874,2018-03-22 03:23:21,Start baking pizza,A
52,1118,1,13,60,50,Salami,Small,1,Phone Bill,Sunday,12,TownExpress Inc. ,Munich District Three,Student,Munich District Three,Teenager,8875,2018-03-22 03:27:21,Plan route,B
53,1118,1,13,60,50,Salami,Small,1,Phone Bill,Sunday,12,TownExpress Inc. ,Munich District Three,Student,Munich District Three,Teenager,8876,2018-03-22 03:29:21,Departure pizza,A
54,1118,1,13,60,50,Salami,Small,1,Phone Bill,Sunday,12,TownExpress Inc. ,Munich District Three,Student,Munich District Three,Teenager,8877,2018-03-22 03:31:21,Pizza arrives at customer,A
55,1118,1,13,60,50,Salami,Small,1,Phone Bill,Sunday,12,TownExpress Inc. ,Munich District Three,Student,Munich District Three,Teenager,8878,2018-03-22 03:55:21,Payment customer,A
56,1973,2,13,43,32,Funghi,Small,4,Ingredients,Friday,20,Feedera SE,Munich District One,Teenager,Munich District Three,Teenager,15595,2018-06-12 06:15:19,Start preparing pizza,A
57,1973,2,13,43,32,Funghi,Small,4,Ingredients,Friday,20,Feedera SE,Munich District One,Teenager,Munich District Three,Teenager,15596,2018-06-12 06:15:19,Order at the counter (shop),A
58,1973,2,13,43,32,Funghi,Small,4,Ingredients,Friday,20,Feedera SE,Munich District One,Teenager,Munich District Three,Teenager,15597,2018-06-12 06:15:19,Start baking pizza,A
59,1973,2,13,43,32,Funghi,Small,4,Ingredients,Friday,20,Feedera SE,Munich District One,Teenager,Munich District Three,Teenager,15598,2018-06-12 06:18:19,Baking pizza ready,B
60,1973,2,13,43,32,Funghi,Small,4,Ingredients,Friday,20,Feedera SE,Munich District One,Teenager,Munich District Three,Teenager,15599,2018-06-12 06:19:19,Payment customer,A
61,623,2,13,55,15,Funghi,Medium,3,Chef 2,Saturday,18,Feedera SE,Munich District Four,Adult,Munich District Three,Teenager,4994,2018-08-10 23:33:25,Order at the counter (shop),B
62,623,2,13,55,15,Funghi,Medium,3,Chef 2,Saturday,18,Feedera SE,Munich District Four,Adult,Munich District Three,Teenager,4995,2018-08-10 23:36:25,Start preparing pizza,B
63,623,2,13,55,15,Funghi,Medium,3,Chef 2,Saturday,18,Feedera SE,Munich District Four,Adult,Munich District Three,Teenager,4996,2018-08-10 23:43:25,Start baking pizza,B
64,623,2,13,55,15,Funghi,Medium,3,Chef 2,Saturday,18,Feedera SE,Munich District Four,Adult,Munich District Three,Teenager,4997,2018-08-10 23:53:25,Baking pizza ready,A
65,623,2,13,55,15,Funghi,Medium,3,Chef 2,Saturday,18,Feedera SE,Munich District Four,Adult,Munich District Three,Teenager,4998,2018-08-10 23:54:25,Payment customer,A
66,51,3,13,9,22,Magherita,Small,5,Delivery Scooters ,Friday,18,Orderly SE,Munich District Three,Student,Munich District Three,Teenager,399,2018-06-27 14:58:15,Order by phone,A
67,51,3,13,9,22,Magherita,Small,5,Delivery Scooters ,Friday,18,Orderly SE,Munich District Three,Student,Munich District Three,Teenager,400,2018-06-27 15:00:15,Start preparing pizza,B
68,51,3,13,9,22,Magherita,Small,5,Delivery Scooters ,Friday,18,Orderly SE,Munich District Three,Student,Munich District Three,Teenager,401,2018-06-27 15:01:15,Start baking pizza,A
69,51,3,13,9,22,Magherita,Small,5,Delivery Scooters ,Friday,18,Orderly SE,Munich District Three,Student,Munich District Three,Teenager,402,2018-06-27 15:23:15,Baking pizza ready,A
70,51,3,13,9,22,Magherita,Small,5,Delivery Scooters ,Friday,18,Orderly SE,Munich District Three,Student,Munich District Three,Teenager,403,2018-06-27 15:28:15,Start preparing pizza,A
71,51,3,13,9,22,Magherita,Small,5,Delivery Scooters ,Friday,18,Orderly SE,Munich District Three,Student,Munich District Three,Teenager,404,2018-06-27 15:33:15,Start baking pizza,A
72,51,3,13,9,22,Magherita,Small,5,Delivery Scooters ,Friday,18,Orderly SE,Munich District Three,Student,Munich District Three,Teenager,405,2018-06-27 15:36:15,Baking pizza ready,A
73,51,3,13,9,22,Magherita,Small,5,Delivery Scooters ,Friday,18,Orderly SE,Munich District Three,Student,Munich District Three,Teenager,406,2018-06-27 15:37:15,Plan route,A
74,51,3,13,9,22,Magherita,Small,5,Delivery Scooters ,Friday,18,Orderly SE,Munich District Three,Student,Munich District Three,Teenager,407,2018-06-27 15:41:15,Departure pizza,A
75,51,3,13,9,22,Magherita,Small,5,Delivery Scooters ,Friday,18,Orderly SE,Munich District Three,Student,Munich District Three,Teenager,408,2018-06-27 15:47:15,Pizza arrives at customer,A
76,51,3,13,9,22,Magherita,Small,5,Delivery Scooters ,Friday,18,Orderly SE,Munich District Three,Student,Munich District Three,Teenager,409,2018-06-27 16:04:15,Payment customer,B
77,472,3,13,47,5,Magherita,Small,2,Delivery Guy 1 ,Thursday,10,BestOrder Inc.,Munich District One,Teenager,Munich District Three,Teenager,3781,2018-03-18 19:48:37,Order by phone,A
78,472,3,13,47,5,Magherita,Small,2,Delivery Guy 1 ,Thursday,10,BestOrder Inc.,Munich District One,Teenager,Munich District Three,Teenager,3782,2018-03-18 19:51:37,Start preparing pizza,A
79,472,3,13,47,5,Magherita,Small,2,Delivery Guy 1 ,Thursday,10,BestOrder Inc.,Munich District One,Teenager,Munich District Three,Teenager,3783,2018-03-18 19:56:37,Start baking pizza,A
80,472,3,13,47,5,Magherita,Small,2,Delivery Guy 1 ,Thursday,10,BestOrder Inc.,Munich District One,Teenager,Munich District Three,Teenager,3784,2018-03-18 20:19:37,Baking pizza ready,A
81,472,3,13,47,5,Magherita,Small,2,Delivery Guy 1 ,Thursday,10,BestOrder Inc.,Munich District One,Teenager,Munich District Three,Teenager,3785,2018-03-18 20:23:37,Start preparing pizza,B
82,472,3,13,47,5,Magherita,Small,2,Delivery Guy 1 ,Thursday,10,BestOrder Inc.,Munich District One,Teenager,Munich District Three,Teenager,3786,2018-03-18 20:23:37,Start baking pizza,A
83,472,3,13,47,5,Magherita,Small,2,Delivery Guy 1 ,Thursday,10,BestOrder Inc.,Munich District One,Teenager,Munich District Three,Teenager,3787,2018-03-18 20:25:37,Baking pizza ready,B
84,472,3,13,47,5,Magherita,Small,2,Delivery Guy 1 ,Thursday,10,BestOrder Inc.,Munich District One,Teenager,Munich District Three,Teenager,3788,2018-03-18 20:32:37,Plan route,A
85,472,3,13,47,5,Magherita,Small,2,Delivery Guy 1 ,Thursday,10,BestOrder Inc.,Munich District One,Teenager,Munich District Three,Teenager,3789,2018-03-18 20:37:37,Departure pizza,A
86,472,3,13,47,5,Magherita,Small,2,Delivery Guy 1 ,Thursday,10,BestOrder Inc.,Munich District One,Teenager,Munich District Three,Teenager,3790,2018-03-18 20:40:37,Pizza arrives at customer,A
87,472,3,13,47,5,Magherita,Small,2,Delivery Guy 1 ,Thursday,10,BestOrder Inc.,Munich District One,Teenager,Munich District Three,Teenager,3791,2018-03-18 21:11:37,Payment customer,B
88,58,4,13,10,56,Magherita,Small,0,Delivery Scooters ,Friday,14,Feedera SE,Munich District One,Student,Munich District Three,Teenager,467,2018-02-15 23:50:22,Order by phone,B
89,58,4,13,10,56,Magherita,Small,0,Delivery Scooters ,Friday,14,Feedera SE,Munich District One,Student,Munich District Three,Teenager,468,2018-02-15 23:53:22,Start preparing pizza,A
90,58,4,13,10,56,Magherita,Small,0,Delivery Scooters ,Friday,14,Feedera SE,Munich District One,Student,Munich District Three,Teenager,469,2018-02-15 23:56:22,Call Customer,A
91,58,4,13,10,56,Magherita,Small,0,Delivery Scooters ,Friday,14,Feedera SE,Munich District One,Student,Munich District Three,Teenager,470,2018-02-16 00:03:22,Start preparing pizza,B
92,58,4,13,10,56,Magherita,Small,0,Delivery Scooters ,Friday,14,Feedera SE,Munich District One,Student,Munich District Three,Teenager,471,2018-02-16 00:06:22,Start baking pizza,A
93,58,4,13,10,56,Magherita,Small,0,Delivery Scooters ,Friday,14,Feedera SE,Munich District One,Student,Munich District Three,Teenager,472,2018-02-16 00:16:22,Baking pizza ready,A
94,58,4,13,10,56,Magherita,Small,0,Delivery Scooters ,Friday,14,Feedera SE,Munich District One,Student,Munich District Three,Teenager,473,2018-02-16 00:18:22,Plan route,A
95,58,4,13,10,56,Magherita,Small,0,Delivery Scooters ,Friday,14,Feedera SE,Munich District One,Student,Munich District Three,Teenager,474,2018-02-16 00:19:22,Departure pizza,A
96,58,4,13,10,56,Magherita,Small,0,Delivery Scooters ,Friday,14,Feedera SE,Munich District One,Student,Munich District Three,Teenager,475,2018-02-16 00:27:22,Pizza arrives at customer,A
97,58,4,13,10,56,Magherita,Small,0,Delivery Scooters ,Friday,14,Feedera SE,Munich District One,Student,Munich District Three,Teenager,476,2018-02-16 00:34:22,Payment customer,A
98,690,1,47,9,16,Calzone,Large,0,Chef 1,Sunday,12,Feedera SE,Munich District One,Teenager,Munich District One,Teenager,5508,2018-03-16 20:56:02,Order by phone,A
99,690,1,47,9,16,Calzone,Large,0,Chef 1,Sunday,12,Feedera SE,Munich District One,Teenager,Munich District One,Teenager,5509,2018-03-16 20:57:02,Start preparing pizza,A
100,690,1,47,9,16,Calzone,Large,0,Chef 1,Sunday,12,Feedera SE,Munich District One,Teenager,Munich District One,Teenager,5510,2018-03-16 21:01:02,Start baking pizza,A
101,690,1,47,9,16,Calzone,Large,0,Chef 1,Sunday,12,Feedera SE,Munich District One,Teenager,Munich District One,Teenager,5511,2018-03-16 21:13:02,Baking pizza ready,B
102,690,1,47,9,16,Calzone,Large,0,Chef 1,Sunday,12,Feedera SE,Munich District One,Teenager,Munich District One,Teenager,5512,2018-03-16 21:15:02,Plan route,B
103,690,1,47,9,16,Calzone,Large,0,Chef 1,Sunday,12,Feedera SE,Munich District One,Teenager,Munich District One,Teenager,5513,2018-03-16 21:20:02,Departure pizza,A
104,690,1,47,9,16,Calzone,Large,0,Chef 1,Sunday,12,Feedera SE,Munich District One,Teenager,Munich District One,Teenager,5514,2018-03-16 21:24:02,Pizza arrives at customer,A
105,690,1,47,9,16,Calzone,Large,0,Chef 1,Sunday,12,Feedera SE,Munich District One,Teenager,Munich District One,Teenager,5515,2018-03-16 21:42:02,Payment customer,B
106,704,1,47,36,10,Magherita,Medium,3,Delivery Guy 1 ,Wednesday,18,TownExpress Inc. ,Munich District Three,Senior,Munich District One,Teenager,5635,2018-03-21 08:13:54,Order by phone,B
107,704,1,47,36,10,Magherita,Medium,3,Delivery Guy 1 ,Wednesday,18,TownExpress Inc. ,Munich District Three,Senior,Munich District One,Teenager,5636,2018-03-21 08:16:54,Start preparing pizza,A
108,704,1,47,36,10,Magherita,Medium,3,Delivery Guy 1 ,Wednesday,18,TownExpress Inc. ,Munich District Three,Senior,Munich District One,Teenager,5637,2018-03-21 08:20:54,Start baking pizza,A
109,704,1,47,36,10,Magherita,Medium,3,Delivery Guy 1 ,Wednesday,18,TownExpress Inc. ,Munich District Three,Senior,Munich District One,Teenager,5638,2018-03-21 08:27:54,Baking pizza ready,A
110,704,1,47,36,10,Magherita,Medium,3,Delivery Guy 1 ,Wednesday,18,TownExpress Inc. ,Munich District Three,Senior,Munich District One,Teenager,5639,2018-03-21 08:28:54,Plan route,A
111,704,1,47,36,10,Magherita,Medium,3,Delivery Guy 1 ,Wednesday,18,TownExpress Inc. ,Munich District Three,Senior,Munich District One,Teenager,5640,2018-03-21 08:30:54,Departure pizza,A
112,704,1,47,36,10,Magherita,Medium,3,Delivery Guy 1 ,Wednesday,18,TownExpress Inc. ,Munich District Three,Senior,Munich District One,Teenager,5641,2018-03-21 08:35:54,Pizza arrives at customer,A
113,704,1,47,36,10,Magherita,Medium,3,Delivery Guy 1 ,Wednesday,18,TownExpress Inc. ,Munich District Three,Senior,Munich District One,Teenager,5642,2018-03-21 09:11:54,Payment customer,B
114,1851,1,47,35,25,Salami,Small,1,Delivery Scooters ,Tuesday,19,Deliveruu Inc.,Munich District One,Teenager,Munich District One,Teenager,14639,2018-04-13 06:52:04,Order by phone,A
115,1851,1,47,35,25,Salami,Small,1,Delivery Scooters ,Tuesday,19,Deliveruu Inc.,Munich District One,Teenager,Munich District One,Teenager,14640,2018-04-13 06:53:04,Start preparing pizza,A
116,1851,1,47,35,25,Salami,Small,1,Delivery Scooters ,Tuesday,19,Deliveruu Inc.,Munich District One,Teenager,Munich District One,Teenager,14641,2018-04-13 06:59:04,Start baking pizza,A
117,1851,1,47,35,25,Salami,Small,1,Delivery Scooters ,Tuesday,19,Deliveruu Inc.,Munich District One,Teenager,Munich District One,Teenager,14642,2018-04-13 07:03:04,Baking pizza ready,B
118,1851,1,47,35,25,Salami,Small,1,Delivery Scooters ,Tuesday,19,Deliveruu Inc.,Munich District One,Teenager,Munich District One,Teenager,14643,2018-04-13 07:08:04,Plan route,A
119,1851,1,47,35,25,Salami,Small,1,Delivery Scooters ,Tuesday,19,Deliveruu Inc.,Munich District One,Teenager,Munich District One,Teenager,14644,2018-04-13 07:09:04,Departure pizza,A
120,1851,1,47,35,25,Salami,Small,1,Delivery Scooters ,Tuesday,19,Deliveruu Inc.,Munich District One,Teenager,Munich District One,Teenager,14645,2018-04-13 07:09:04,Pizza arrives at customer,A
121,1851,1,47,35,25,Salami,Small,1,Delivery Scooters ,Tuesday,19,Deliveruu Inc.,Munich District One,Teenager,Munich District One,Teenager,14646,2018-04-13 07:42:04,Payment customer,A
122,856,1,47,11,9,Speciale,Medium,5,Ingredients,Sunday,14,Deliver Now Holding,Munich District One,Adult,Munich District One,Teenager,6860,2018-04-02 05:20:33,Order by phone,A
123,856,1,47,11,9,Speciale,Medium,5,Ingredients,Sunday,14,Deliver Now Holding,Munich District One,Adult,Munich District One,Teenager,6861,2018-04-02 05:21:33,Start preparing pizza,A
124,856,1,47,11,9,Speciale,Medium,5,Ingredients,Sunday,14,Deliver Now Holding,Munich District One,Adult,Munich District One,Teenager,6862,2018-04-02 05:28:33,Start baking pizza,A
125,856,1,47,11,9,Speciale,Medium,5,Ingredients,Sunday,14,Deliver Now Holding,Munich District One,Adult,Munich District One,Teenager,6863,2018-04-02 05:36:33,Baking pizza ready,A
126,856,1,47,11,9,Speciale,Medium,5,Ingredients,Sunday,14,Deliver Now Holding,Munich District One,Adult,Munich District One,Teenager,6864,2018-04-02 05:40:33,Plan route,A
127,856,1,47,11,9,Speciale,Medium,5,Ingredients,Sunday,14,Deliver Now Holding,Munich District One,Adult,Munich District One,Teenager,6865,2018-04-02 05:45:33,Departure pizza,A
128,856,1,47,11,9,Speciale,Medium,5,Ingredients,Sunday,14,Deliver Now Holding,Munich District One,Adult,Munich District One,Teenager,6866,2018-04-02 05:49:33,Pizza arrives at customer,A
129,856,1,47,11,9,Speciale,Medium,5,Ingredients,Sunday,14,Deliver Now Holding,Munich District One,Adult,Munich District One,Teenager,6867,2018-04-02 05:49:33,Payment customer,A
130,1070,2,47,21,44,Funghi,Medium,4,Chef 1,Friday,13,Orderly SE,Munich District Three,Student,Munich District One,Teenager,8520,2018-03-11 00:51:52,Order at the counter (shop),A
131,1070,2,47,21,44,Funghi,Medium,4,Chef 1,Friday,13,Orderly SE,Munich District Three,Student,Munich District One,Teenager,8521,2018-03-11 00:51:52,Start preparing pizza,B
132,1070,2,47,21,44,Funghi,Medium,4,Chef 1,Friday,13,Orderly SE,Munich District Three,Student,Munich District One,Teenager,8522,2018-03-11 00:57:52,Start baking pizza,B
133,1070,2,47,21,44,Funghi,Medium,4,Chef 1,Friday,13,Orderly SE,Munich District Three,Student,Munich District One,Teenager,8523,2018-03-11 01:01:52,Payment customer,B
134,1070,2,47,21,44,Funghi,Medium,4,Chef 1,Friday,13,Orderly SE,Munich District Three,Student,Munich District One,Teenager,8524,2018-03-11 01:01:52,Baking pizza ready,A
135,1351,3,47,9,30,Salami,Small,1,Phone Bill,Friday,19,Deliveruu Inc.,Munich District One,Student,Munich District One,Teenager,10742,2018-02-25 06:06:13,Order by phone,A
136,1351,3,47,9,30,Salami,Small,1,Phone Bill,Friday,19,Deliveruu Inc.,Munich District One,Student,Munich District One,Teenager,10743,2018-02-25 06:06:13,Start preparing pizza,A
137,1351,3,47,9,30,Salami,Small,1,Phone Bill,Friday,19,Deliveruu Inc.,Munich District One,Student,Munich District One,Teenager,10744,2018-02-25 06:07:13,Start baking pizza,B
138,1351,3,47,9,30,Salami,Small,1,Phone Bill,Friday,19,Deliveruu Inc.,Munich District One,Student,Munich District One,Teenager,10745,2018-02-25 06:16:13,Baking pizza ready,A
139,1351,3,47,9,30,Salami,Small,1,Phone Bill,Friday,19,Deliveruu Inc.,Munich District One,Student,Munich District One,Teenager,10746,2018-02-25 06:18:13,Start preparing pizza,A
140,1351,3,47,9,30,Salami,Small,1,Phone Bill,Friday,19,Deliveruu Inc.,Munich District One,Student,Munich District One,Teenager,10747,2018-02-25 06:22:13,Start baking pizza,B
141,1351,3,47,9,30,Salami,Small,1,Phone Bill,Friday,19,Deliveruu Inc.,Munich District One,Student,Munich District One,Teenager,10748,2018-02-25 06:33:13,Baking pizza ready,B
142,1351,3,47,9,30,Salami,Small,1,Phone Bill,Friday,19,Deliveruu Inc.,Munich District One,Student,Munich District One,Teenager,10749,2018-02-25 06:38:13,Plan route,B
143,1351,3,47,9,30,Salami,Small,1,Phone Bill,Friday,19,Deliveruu Inc.,Munich District One,Student,Munich District One,Teenager,10750,2018-02-25 06:42:13,Departure pizza,B
144,1351,3,47,9,30,Salami,Small,1,Phone Bill,Friday,19,Deliveruu Inc.,Munich District One,Student,Munich District One,Teenager,10751,2018-02-25 06:51:13,Pizza arrives at customer,A
145,1351,3,47,9,30,Salami,Small,1,Phone Bill,Friday,19,Deliveruu Inc.,Munich District One,Student,Munich District One,Teenager,10752,2018-02-25 06:54:13,Payment customer,A
