,Year-Sem,SECTION,A,B,C,D,F,TOTAL A-F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR,Year-sem
796,,COURSE TOTAL:,9,1,0,0.1,0.2,10,3.900,0.3,0.4,0.5,0.6,0.7,10.1,Unnamed: 0,20211
800,,COURSE TOTAL:,20,0,0,0,0,20.0,4.0,0.0,0.0,0.0,0.0,0.0,20.0,,20211
804,,COURSE TOTAL:,3,2,0,0,0,5.0,3.6,0.0,0.0,0.0,0.0,0.0,5.0,,20211
808,,COURSE TOTAL:,10,1,0,0,0,11.0,3.909,0.0,0.0,0.0,0.0,0.0,11.0,,20211
812,,COURSE TOTAL:,5,0,0,0,0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,,20211
816,,COURSE TOTAL:,4,5,0,0,0,9.0,3.444,0.0,0.0,0.0,0.0,0.0,9.0,,20211
820,,COURSE TOTAL:,6,21,18,5,3,53.0,2.415,0.0,0.0,0.0,0.0,0.0,53.0,,20211
824,,COURSE TOTAL:,6,9,7,2,3,27.0,2.481,0.0,0.0,0.0,0.0,0.0,27.0,,20211
828,,COURSE TOTAL:,5,5,0,0,0,10.0,3.5,0.0,0.0,0.0,1.0,0.0,11.0,,20211
854,,COURSE TOTAL:,62,155,129,35,10,391.0,2.572,1.0,0.0,0.0,51.0,0.0,443.0,,20211
896,,COURSE TOTAL:,253,254,135,46,5,693,3.015,1,0,0.1,117,0.2,811,Unnamed: 0,20211
904,,COURSE TOTAL:,24,21,15,0,0,60.0,3.15,1.0,0.0,0.0,1.0,0.0,62.0,,20211
910,,COURSE TOTAL:,23,16,3,1,0,43.0,3.418,0.0,0.0,0.0,0.0,0.0,43.0,,20211
916,,COURSE TOTAL:,8,15,0,0,2,25.0,3.08,0.0,0.0,0.0,1.0,0.0,26.0,,20211
920,,COURSE TOTAL:,14,11,12,0,0.1,37,3.054,0.2,0.3,0.4,2,0.5,39,Unnamed: 0,20211
926,,COURSE TOTAL:,20,22,17,6,1,66.0,2.818,0.0,0.0,0.0,3.0,0.0,69.0,,20211
930,,COURSE TOTAL:,10,4,0,0,0,14.0,3.714,1.0,0.0,0.0,0.0,0.0,15.0,,20211
934,,COURSE TOTAL:,5,6,0,0,0,11.0,3.4539999999999997,0.0,0.0,0.0,0.0,0.0,11.0,,20211
938,,COURSE TOTAL:,7,1,0,0,0,8.0,3.875,0.0,0.0,0.0,0.0,0.0,8.0,,20211
942,,COURSE TOTAL:,8,0,0,0,0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0,,20211
946,,COURSE TOTAL:,8,0,0,0,0,8.0,4.0,1.0,0.0,0.0,0.0,0.0,9.0,,20211
950,,COURSE TOTAL:,10,0,0,0,0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,10.0,,20211
954,,COURSE TOTAL:,12,0,0,0,0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,12.0,,20211
958,,COURSE TOTAL:,15,0,0,0,0,15.0,4.0,0.0,0.0,0.0,0.0,0.0,15.0,,20211
974,,COURSE TOTAL:,65,10,3,0,0,78.0,3.7939999999999996,0.0,0.0,0.0,0.0,0.0,78.0,,20211
978,,COURSE TOTAL:,13,0,0,0,0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,13.0,,20211
988,,COURSE TOTAL:,148,71,50,14,3,286.0,3.213,0.0,0.0,0.0,13.0,0.0,299.0,,20211
1000,,COURSE TOTAL:,47,56,44,29,12,188.0,2.515,0.0,0.0,0.0,41.0,0.0,229.0,,20211
1006,,COURSE TOTAL:,13,17,20,2,2,54.0,2.685,0.0,0.0,0.0,5.0,0.0,59.0,,20211
1034,,COURSE TOTAL:,104,191,82,13,4,394.0,2.9589999999999996,1.0,0.0,0.0,9.0,0.0,404.0,,20211
1038,,COURSE TOTAL:,1,3,2,0,1,7.0,2.428,0.0,0.0,0.0,0.0,0.0,7.0,,20211
1042,,COURSE TOTAL:,6,3,1,0,0,10.0,3.5,0.0,0.0,0.0,0.0,0.0,10.0,,20211
1046,,COURSE TOTAL:,45,3,0,0.1,0.2,48,3.937,2,0.3,0.4,0.5,0.6,50,Unnamed: 0,20211
1050,,COURSE TOTAL:,15,3,0,0,0,18.0,3.833,0.0,0.0,0.0,0.0,0.0,18.0,,20211
1054,,COURSE TOTAL:,27,0,0,0,0,27.0,4.0,0.0,0.0,0.0,0.0,0.0,27.0,,20211
1060,,COURSE TOTAL:,13,19,6,0,0,38.0,3.1839999999999997,0.0,0.0,0.0,2.0,0.0,40.0,,20211
1064,,COURSE TOTAL:,3,4,1,0,0,8.0,3.25,0.0,0.0,0.0,0.0,0.0,8.0,,20211
1068,,COURSE TOTAL:,4,5,1,0,0,10.0,3.3,0.0,0.0,0.0,0.0,0.0,10.0,,20211
1072,,COURSE TOTAL:,6,0,0,0,0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,,20211
1076,,COURSE TOTAL:,7,0,0,0,0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,,20211
1080,,COURSE TOTAL:,13,0,0,0,0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,13.0,,20211
1086,,COURSE TOTAL:,13,0,0,0,0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,13.0,,20211
1096,,COURSE TOTAL:,28,12,9,1,3,53.0,3.15,0.0,0.0,0.0,2.0,0.0,55.0,,20211
1102,,COURSE TOTAL:,7,9,10,2,0,28.0,2.75,0.0,0.0,0.0,0.0,0.0,28.0,,20211
1108,,COURSE TOTAL:,10,10,15,5,3,43.0,2.441,0.0,0.0,0.0,1.0,0.0,44.0,,20211
1114,,COURSE TOTAL:,12,13,3,2,0,30,3.166,0.1,0.2,0.3,2.1,0.4,32,Unnamed: 0,20211
1126,,COURSE TOTAL:,12,9,9,6,2,38.0,2.605,0.0,0.0,0.0,3.0,0.0,41.0,,20211
1132,,COURSE TOTAL:,55,20,11,1,1,88.0,3.443,0.0,0.0,0.0,7.0,0.0,95.0,,20211
1136,,COURSE TOTAL:,26,8,1,0,0,35.0,3.714,0.0,0.0,0.0,0.0,0.0,35.0,,20211
1142,,COURSE TOTAL:,17,10,5,0,1,33.0,3.272,0.0,0.0,0.0,0.0,0.0,33.0,,20211
1150,,COURSE TOTAL:,21,17,5,0,0,43.0,3.372,0.0,0.0,0.0,0.0,0.0,43.0,,20211
1156,,COURSE TOTAL:,16,11,10,0,0,37.0,3.162,0.0,0.0,0.0,3.0,0.0,40.0,,20211
1160,,COURSE TOTAL:,8,8,16,1,0,33.0,2.696,0.0,0.0,0.0,9.0,0.0,42.0,,20211
1166,,COURSE TOTAL:,19,12,7,0,0,38.0,3.315,0.0,0.0,0.0,1.0,0.0,39.0,,20211
1170,,COURSE TOTAL:,14,0,0,0,0,14.0,4.0,0.0,0.0,0.0,1.0,0.0,15.0,,20211
1174,,COURSE TOTAL:,5,4,1,0,0,10.0,3.4,0.0,0.0,0.0,0.0,0.0,10.0,,20211
1178,,COURSE TOTAL:,3,3,4,0,0,10.0,2.9,0.0,0.0,0.0,0.0,0.0,10.0,,20211
1182,,COURSE TOTAL:,22,1,0,0,0,23.0,3.9560000000000004,0.0,0.0,0.0,0.0,0.0,23.0,,20211
1186,,COURSE TOTAL:,14,1,3,0,0.1,18,3.611,0.2,0.3,0.4,0.5,0.6,18.1,Unnamed: 0,20211
1190,,COURSE TOTAL:,47,4,0,0,0,51.0,3.9210000000000003,0.0,0.0,0.0,0.0,0.0,51.0,,20211
1194,,COURSE TOTAL:,5,0,0,0,0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,,20211
1198,,COURSE TOTAL:,3,2,0,0,0,5.0,3.6,0.0,0.0,0.0,0.0,0.0,5.0,,20211
1202,,COURSE TOTAL:,5,0,0,0,0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,,20211
1206,,COURSE TOTAL:,11,0,0,0,0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,11.0,,20211
1210,,COURSE TOTAL:,7,4,2,0,0.1,13,3.384,0.2,0.3,0.4,0.5,0.6,13.1,Unnamed: 0,20211
1214,,COURSE TOTAL:,4,1,0,0,0,5.0,3.8,0.0,0.0,0.0,0.0,0.0,5.0,,20211
1218,,COURSE TOTAL:,14,0,0,0,0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,14.0,,20211
1222,,COURSE TOTAL:,6,0,0,0,0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,,20211
1226,,COURSE TOTAL:,12,0,0,0,0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,12.0,,20211
1230,,COURSE TOTAL:,73,11,5,1,2,92.0,3.6519999999999997,0.0,0.0,0.0,3.0,0.0,95.0,,20211
1236,,COURSE TOTAL:,14,0,0,0,0,14.0,4.0,0.0,0.0,0.0,2.0,0.0,16.0,,20211
1240,,COURSE TOTAL:,7,0,0,0,1,8.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0,,20211
1244,,COURSE TOTAL:,10,5,1,0,2,18.0,3.1660000000000004,0.0,0.0,0.0,0.0,0.0,18.0,,20211
1248,,COURSE TOTAL:,22,8,3,1,0,34.0,3.5,0.0,0.0,0.0,4.0,0.0,38.0,,20211
1254,,COURSE TOTAL:,32,12,5,0,3,52.0,3.346,1.0,0.0,0.0,0.0,0.0,53.0,,20211
1258,,COURSE TOTAL:,43,31,13,1,0,88.0,3.318,0.0,0.0,0.0,5.0,0.0,93.0,,20211
1262,,COURSE TOTAL:,1,5,8,0,0,14.0,2.5,0.0,0.0,0.0,1.0,0.0,15.0,,20211
1266,,COURSE TOTAL:,18,13,7,3,0,41,3.121,1,0.1,0.2,1.1,0.3,43,Unnamed: 0,20211
1270,,COURSE TOTAL:,5,3,6,1,0,15.0,2.8,0.0,0.0,0.0,1.0,0.0,16.0,,20211
1274,,COURSE TOTAL:,15,11,8,1,5,40.0,2.75,0.0,0.0,0.0,2.0,0.0,42.0,,20211
1278,,COURSE TOTAL:,6,1,0,0,0,7.0,3.8569999999999998,0.0,0.0,0.0,0.0,0.0,7.0,,20211
1284,,COURSE TOTAL:,17,23,6,1,1,48.0,3.125,0.0,0.0,0.0,4.0,0.0,52.0,,20211
1288,,COURSE TOTAL:,14,2,0,0,0,16.0,3.875,0.0,0.0,0.0,0.0,0.0,16.0,,20211
1292,,COURSE TOTAL:,8,5,0,0,0,13.0,3.615,0.0,0.0,0.0,0.0,0.0,13.0,,20211
1296,,COURSE TOTAL:,5,6,0,0,0,11.0,3.4539999999999997,0.0,0.0,0.0,2.0,0.0,13.0,,20211
1300,,COURSE TOTAL:,0,2,1,2,0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,,20211
1304,,COURSE TOTAL:,12,9,4,3,1,29.0,2.965,1.0,0.0,0.0,1.0,0.0,31.0,,20211
1308,,COURSE TOTAL:,8,6,0,0,0,14.0,3.571,0.0,0.0,0.0,0.0,0.0,14.0,,20211
1312,,COURSE TOTAL:,10,4,0,0,0,14.0,3.714,0.0,0.0,0.0,0.0,0.0,14.0,,20211
1316,,COURSE TOTAL:,10,1,0,0,0,11.0,3.909,0.0,0.0,0.0,0.0,0.0,11.0,,20211
1322,,COURSE TOTAL:,13,3,0,0,0,16.0,3.812,1.0,0.0,0.0,1.0,0.0,18.0,,20211
1326,,COURSE TOTAL:,4,1,0,0,0,5.0,3.8,0.0,0.0,0.0,0.0,0.0,5.0,,20211
