,Year-Sem,SECTION,A,B,C,D,F,TOTAL A-F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR,Year-sem
38,,ALEC-412-700,5,3,0,0,0,8.0,3.625,0.0,0.0,0.0,0.0,0.0,8.0,MURPHREY T,20211
39,,ALEC-425-700,17,7,2,0,1,27.0,3.444,0.0,0.0,0.0,2.0,0.0,29.0,ELBERT C,20211
40,,ALEC-450-900,7,9,3,1,1,21.0,2.952,0.0,0.0,0.0,2.0,0.0,23.0,WINGENBACH G,20211
41,,ALEC-610-600,15,0,0,0,0,15.0,4.0,0.0,0.0,0.0,0.0,0.0,15.0,DOOLEY K,20211
42,,ALEC-612-699,11,0,0,0,0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,11.0,MURPHREY T,20211
43,,ALEC-612-700,6,0,0,0,0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,MURPHREY T,20211
44,,ALEC-615-600,10,0,0,0,0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,10.0,BRIERS G,20211
45,,ALEC-615-699,6,1,0,0,0,7.0,3.8569999999999998,0.0,0.0,0.0,0.0,0.0,7.0,REDWINE T,20211
46,,ALEC-615-700,6,1,0,0.1,0.2,7,3.857,0.3,0.4,0.5,0.6,0.7,7.1,REDWINE T,20211
47,,ALEC-640-600,13,1,0,0,0,14.0,3.928,0.0,0.0,0.0,0.0,0.0,14.0,STRONG R,20211
48,,ALEC-695-699,4,3,0,0,0,7.0,3.571,0.0,0.0,0.0,1.0,0.0,8.0,WINGENBACH G,20211
49,,ALEC-696-600,12,1,0,0,0,13.0,3.923,0.0,0.0,0.0,0.0,0.0,13.0,DOOLEY K,20211
50,,ALED-202-501,18,10,3,1,0,32.0,3.406,0.0,0.0,0.0,0.0,0.0,32.0,MASTROGIOVANNI M,20211
51,,ALED-202-502,35,5,8,0,0,48.0,3.562,0.0,0.0,0.0,1.0,0.0,49.0,MASTROGIOVANNI M,20211
52,,ALED-202-700,18,6,1,0,0,25.0,3.68,0.0,0.0,0.0,0.0,0.0,25.0,LOCKETT L,20211
53,,ALED-202-701,15,6,3,0,0,24.0,3.5,0.0,0.0,0.0,0.0,0.0,24.0,LOCKETT L,20211
54,,ALED-225-500,10,0,0,0,0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,10.0,MASTROGIOVANNI M,20211
55,,ALED-301-501,53,21,11,2,2,89.0,3.359,0.0,0.0,0.0,2.0,0.0,91.0,ODOM S,20211
56,,ALED-301-700,18,4,2,0,2,26.0,3.384,0.0,0.0,0.0,0.0,0.0,26.0,DUNN A,20211
57,,ALED-340-700,39,34,31,9,7,120.0,2.741,0.0,0.0,0.0,5.0,0.0,125.0,DUNN A,20211
58,,ALED-340-901,6,8,5,2,1,22.0,2.727,0.0,0.0,0.0,1.0,0.0,23.0,STRONG J,20211
59,,ALED-340-903,0,10,9,0,0,19.0,2.526,0.0,0.0,0.0,4.0,0.0,23.0,STRONG J,20211
60,,ALED-340-904,5,7,7,0,0,19.0,2.8939999999999997,0.0,0.0,0.0,3.0,0.0,22.0,STRONG J,20211
61,,ALED-340-905,4,8,6,1,1,20.0,2.65,0.0,0.0,0.0,3.0,0.0,23.0,STRONG J,20211
62,,ALED-340-907,5,5,9,1,0,20.0,2.7,0.0,0.0,0.0,4.0,0.0,24.0,STRONG J,20211
63,,ALED-340-908,2,10,9,0,1,22.0,2.545,0.0,0.0,0.0,2.0,0.0,24.0,STRONG J,20211
64,,ALED-340-931,4,7,8,2,1,22,2.500,0,0.1,0.2,1.1,0.3,23,STRONG J,20211
65,,ALED-340-932,1,14,7,1,0,23.0,2.6519999999999997,0.0,0.0,0.0,0.0,0.0,23.0,STRONG J,20211
66,,ALED-344-700,24,5,1,0,0,30.0,3.766,0.0,0.0,0.0,0.0,0.0,30.0,LOCKETT L,20211
67,,ALED-401-500,13,0,0,0,0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,13.0,STRONG J,20211
68,,ALED-422-500,22,10,7,0,0,39.0,3.384,0.0,0.0,0.0,1.0,0.0,40.0,PINA M,20211
69,,ALED-424-501,43,24,14,2,2,85.0,3.2230000000000003,0.0,0.0,0.0,3.0,0.0,88.0,BOYD B,20211
70,,ALED-424-700,24,8,6,0,0,38.0,3.4730000000000003,0.0,0.0,0.0,1.0,0.0,39.0,BENSON J,20211
71,,ALED-426-500,14,3,4,0,0.1,21,3.476,0.2,0.3,0.4,0.5,0.6,21.1,PINA M,20211
72,,ALED-440-700,12,12,13,0,2,39.0,2.82,0.0,0.0,0.0,3.0,0.0,42.0,PRESTON T,20211
73,,ALED-440-900,22,8,0,0,0,30.0,3.733,0.0,0.0,0.0,0.0,0.0,30.0,DIXON S,20211
74,,ALED-440-999,1,3,4,0,1,9.0,2.333,0.0,0.0,0.0,3.0,0.0,12.0,PRESTON T,20211
75,,ALED-441-500,35,6,0,0,0,41.0,3.853,0.0,0.0,0.0,0.0,0.0,41.0,CUMMINGS S,20211
76,,ALED-481-501,80,8,1,0,0,89.0,3.887,0.0,0.0,0.0,1.0,0.0,90.0,PRESTON T,20211
77,,ALED-494-550,6,0,0,0,0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,BRIERS G,20211
78,,AGEC-105-501,17,6,0,0.1,0.2,23,3.739,0.3,0.4,0.5,1,0.6,24,SHCHERBAKOVA A,20211
79,,AGEC-105-502,15,23,0,1,0,39.0,3.333,0.0,0.0,0.0,0.0,0.0,39.0,SHCHERBAKOVA A,20211
80,,AGEC-105-503,20,25,3,0,0,48.0,3.3539999999999996,0.0,0.0,0.0,0.0,0.0,48.0,SHCHERBAKOVA A,20211
81,,AGEC-105-598,11,28,39,14,10,102.0,2.156,0.0,0.0,0.0,50.0,0.0,152.0,MJELDE J,20211
82,,AGEC-105-701,1,4,9,7,1,22.0,1.8630000000000002,0.0,0.0,0.0,8.0,0.0,30.0,MJELDE J,20211
83,,AGEC-117-900,175,24,6,2,4,211.0,3.725,0.0,0.0,0.0,8.0,0.0,219.0,MENZIES III M,20211
84,,AGEC-216-500,26,9,4,1,0,40.0,3.5,0.0,0.0,0.0,2.0,0.0,42.0,WRIGHT C,20211
85,,AGEC-217-901,20,16,5,1,1,43.0,3.2319999999999998,0.0,0.0,0.0,1.0,0.0,44.0,MENZIES III M,20211
86,,AGEC-217-902,16,14,9,1,1,41.0,3.048,0.0,0.0,0.0,2.0,0.0,43.0,MENZIES III M,20211
87,,AGEC-217-903,18,15,5,2,1,41.0,3.1460000000000004,0.0,0.0,0.0,0.0,0.0,41.0,MENZIES III M,20211
88,,AGEC-217-904,14,8,6,0,0.1,28,3.285,0.2,0.3,0.4,1,0.5,29,MENZIES III M,20211
89,,AGEC-217-905,8,9,4,0,0,21.0,3.19,0.0,0.0,0.0,2.0,0.0,23.0,MENZIES III M,20211
90,,AGEC-235-501,97,16,7,0,0,120.0,3.75,0.0,0.0,0.0,4.0,0.0,124.0,KILMER N,20211
91,,AGEC-235-502,91,20,7,3,0,121.0,3.6439999999999997,0.0,0.0,0.0,3.0,0.0,124.0,ROACH D,20211
92,,AGEC-314-501,21,4,0,0,0,25.0,3.84,0.0,0.0,0.0,1.0,0.0,26.0,LI A,20211
93,,AGEC-314-502,20,8,3,0,0,31.0,3.548,0.0,0.0,0.0,0.0,0.0,31.0,LI A,20211
94,,AGEC-314-599,94,22,4,2,0,122.0,3.7039999999999997,0.0,0.0,0.0,6.0,0.0,128.0,DHARMASENA K,20211
95,,AGEC-314-700,6,2,0,0,0,8.0,3.75,0.0,0.0,0.0,2.0,0.0,10.0,DHARMASENA K,20211
96,,AGEC-315-500,12,20,7,2,2,43.0,2.883,0.0,0.0,0.0,6.0,0.0,49.0,SPRINGFIELD H,20211
97,,AGEC-315-501,9,3,2,1,0,15.0,3.333,0.0,0.0,0.0,0.0,0.0,15.0,SPRINGFIELD H,20211
98,,AGEC-315-502,7,8,1,0,0.1,16,3.375,0.2,0.3,0.4,2,0.5,18,SPRINGFIELD H,20211
99,,AGEC-315-503,5,7,0,0,0,12.0,3.4160000000000004,0.0,0.0,0.0,0.0,0.0,12.0,SPRINGFIELD H,20211
100,,AGEC-315-504,7,11,2,0,0,20.0,3.25,0.0,0.0,0.0,0.0,0.0,20.0,SPRINGFIELD H,20211
101,,AGEC-316-500,20,9,1,1,0,31.0,3.548,0.0,0.0,0.0,1.0,0.0,32.0,SPRINGFIELD H,20211
102,,AGEC-316-501,25,11,2,0,0,38.0,3.605,0.0,0.0,0.0,0.0,0.0,38.0,SPRINGFIELD H,20211
103,,AGEC-317-501,38,33,6,0,0,77.0,3.415,0.0,0.0,0.0,2.0,0.0,79.0,MJELDE J,20211
104,,AGEC-317-502,5,14,3,1,0,23.0,3.0,0.0,0.0,0.0,0.0,0.0,23.0,MJELDE J,20211
105,,AGEC-317-503,8,14,5,2,2,31.0,2.7739999999999996,0.0,0.0,0.0,1.0,0.0,32.0,MJELDE J,20211
106,,AGEC-317-504,8,26,4,0,0,38.0,3.105,0.0,0.0,0.0,2.0,0.0,40.0,MJELDE J,20211
107,,AGEC-324-500,7,7,5,4,0,23.0,2.739,0.0,0.0,0.0,2.0,0.0,25.0,RISTER M,20211
108,,AGEC-324-501,19,12,10,7,1,49,2.836,0,0.1,0.2,5,0.3,54,RISTER M,20211
109,,AGEC-325-501,11,15,9,2,2,39.0,2.7939999999999996,0.0,0.0,0.0,3.0,0.0,42.0,SPRINGFIELD H,20211
110,,AGEC-325-502,0,4,5,1,0,10.0,2.3,0.0,0.0,0.0,0.0,0.0,10.0,SPRINGFIELD H,20211
111,,AGEC-330-700,75,96,34,5,2,212.0,3.117,0.0,0.0,0.0,2.0,0.0,214.0,LEATHAM D,20211
112,,AGEC-335-501,22,4,0,0,0,26.0,3.846,0.0,0.0,0.0,1.0,0.0,27.0,MOORE C,20211
113,,AGEC-340-501,40,13,0,0,0,53.0,3.7539999999999996,0.0,0.0,0.0,0.0,0.0,53.0,PARK J,20211
114,,AGEC-340-502,26,13,3,0,0,42.0,3.5469999999999997,0.0,0.0,0.0,0.0,0.0,42.0,PARK J,20211
115,,AGEC-340-503,97,17,0,0,0,114.0,3.85,0.0,0.0,0.0,0.0,0.0,114.0,PARK J,20211
116,,AGEC-340-504,19,9,2,0,0.1,30,3.566,0.2,0.3,0.4,0.5,0.6,30.1,PARK J,20211
117,,AGEC-344-501,25,13,4,0,0,42.0,3.5,0.0,0.0,0.0,2.0,0.0,44.0,BOADU F,20211
118,,AGEC-344-502,11,7,0,1,1,20.0,3.3,0.0,0.0,0.0,0.0,0.0,20.0,BOADU F,20211
119,,AGEC-350-501,2,10,12,2,0,26.0,2.461,0.0,0.0,0.0,6.0,0.0,32.0,MJELDE J,20211
120,,AGEC-350-502,4,9,8,5,0,26.0,2.461,0.0,0.0,0.0,5.0,0.0,31.0,MJELDE J,20211
121,,AGEC-414-500,54,5,0,1,0,60.0,3.866,0.0,0.0,0.0,0.0,0.0,60.0,DHARMASENA K,20211
122,,AGEC-420-500,11,4,0,0,0,15.0,3.733,0.0,0.0,0.0,0.0,0.0,15.0,PRICE E,20211
123,,AGEC-422-599,68,20,3,0,0.1,91,3.714,0.2,0.3,0.4,6,0.5,97,BOADU F,20211
124,,AGEC-422-701,5,0,0,0,0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,BOADU F,20211
125,,AGEC-425-501,7,2,0,0,0,9.0,3.7769999999999997,0.0,0.0,0.0,0.0,0.0,9.0,RISTER M,20211
126,,AGEC-425-502,9,0,0,0,0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,9.0,RISTER M,20211
127,,AGEC-429-901,102,83,18,4,2,209.0,3.3339999999999996,0.0,0.0,0.0,9.0,0.0,218.0,WILLIAMS G,20211
128,,AGEC-430-500,58,60,31,4,1,154.0,3.103,0.0,0.0,0.0,3.0,0.0,157.0,BOADU F,20211
129,,AGEC-431-500,18,7,4,0,0,29.0,3.4819999999999998,0.0,0.0,0.0,1.0,0.0,30.0,SALIN V,20211
130,,AGEC-431-501,12,12,1,0,0,25.0,3.44,0.0,0.0,0.0,0.0,0.0,25.0,SALIN V,20211
131,,AGEC-432-500,17,61,14,1,0,93.0,3.01,0.0,0.0,0.0,3.0,0.0,96.0,LEATHAM D,20211
132,,AGEC-434-500,12,22,14,0,2,50.0,2.84,0.0,0.0,0.0,2.0,0.0,52.0,KNAPEK G,20211
133,,AGEC-435-598,12,20,22,6,2,62.0,2.548,0.0,0.0,0.0,7.0,0.0,69.0,HARNESS N,20211
134,,AGEC-435-701,1,0,3,0,1,5.0,2.0,0.0,0.0,0.0,4.0,0.0,9.0,HARNESS N,20211
135,,AGEC-436-599,10,25,18,3,2,58.0,2.655,0.0,0.0,0.0,6.0,0.0,64.0,BUENGER S,20211
136,,AGEC-436-700,0,3,4,0,0,7.0,2.428,0.0,0.0,0.0,1.0,0.0,8.0,BUENGER S,20211
137,,AGEC-438-500,14,3,0,0,0,17.0,3.823,0.0,0.0,0.0,0.0,0.0,17.0,BOHNSACK J,20211
138,,AGEC-439-598,12,16,7,1,0,36.0,3.083,0.0,0.0,0.0,3.0,0.0,39.0,MOORE C,20211
139,,AGEC-440-500,32,19,8,0,0,59.0,3.406,0.0,0.0,0.0,0.0,0.0,59.0,NG D,20211
140,,AGEC-441-598,6,12,3,0,1,22.0,3.0,2.0,0.0,0.0,7.0,0.0,31.0,HARNESS N,20211
141,,AGEC-448-500,22,15,18,2,0,57.0,3.0,0.0,0.0,0.0,1.0,0.0,58.0,VEDENOV D,20211
142,,AGEC-453-500,22,33,5,3,1,64.0,3.125,0.0,0.0,0.0,2.0,0.0,66.0,RIBERA LANDIVAR L,20211
143,,AGEC-453-501,6,9,4,1,0,20.0,3.0,0.0,0.0,0.0,0.0,0.0,20.0,RIBERA LANDIVAR L,20211
144,,AGEC-481-500,137,41,14,1,1.1,194,3.608,0,0.1,0.2,5,0.3,199,NEWCOMB D,20211
145,,AGEC-485-539,2,4,1,0,0,7.0,3.142,0.0,0.0,0.0,0.0,0.0,7.0,RISTER M,20211
146,,AGEC-491-539,7,0,0,0,0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,RISTER M,20211
147,,AGEC-601-600,8,1,0,0,0,9.0,3.888,0.0,0.0,0.0,1.0,0.0,10.0,VEDENOV D,20211
148,,AGEC-603-600,8,19,21,1,0,49.0,2.693,0.0,0.0,0.0,0.0,0.0,49.0,MJELDE J,20211
149,,AGEC-607-600,8,2,0,0,0,10.0,3.8,0.0,0.0,0.0,0.0,0.0,10.0,PALMA M,20211
150,,AGEC-620-600,8,0,0.1,0.2,0.3,8.1,4.000,0.4,0.5,0.6,0.7,0.8,8.2,PRICE E,20211
151,,AGEC-622-600,22,14,3,1,0,40.0,3.425,0.0,0.0,0.0,2.0,0.0,42.0,MCCARL B,20211
152,,AGEC-625-600,21,6,1,1,1,30.0,3.5,0.0,0.0,0.0,0.0,0.0,30.0,NG D,20211
153,,AGEC-634-600,7,0,0,0,0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,KNAPEK G,20211
154,,AGEC-641-600,5,4,0,0,0,9.0,3.555,0.0,0.0,0.0,0.0,0.0,9.0,MCCARL B,20211
155,,AGEC-662-600,11,10,0,0,0,21.0,3.523,0.0,0.0,0.0,0.0,0.0,21.0,LIU Y,20211
156,,AGEC-676-600,3,2,0,0.1,0.2,5,3.600,0.3,0.4,0.5,0.6,0.7,5.1,WU X,20211
157,,DEPARTMENT TOTAL:,1929,1172,453,98,42,3694.0,3.282,2.0,0.0,0.0,194.0,0.0,3890.0,,20211
158,,ANSC-107-500,301,41,15,4,3,364,3.739,0,0.1,0.2,6,0.3,370,FRENZEL L,20211
159,,ANSC-107-701,13,3,2,0,1,19.0,3.4210000000000003,0.0,0.0,0.0,0.0,0.0,19.0,PAUDYAL S,20211
160,,ANSC-107-702,16,1,0,1,0,18.0,3.7769999999999997,0.0,0.0,0.0,2.0,0.0,20.0,PAUDYAL S,20211
161,,ANSC-108-501,20,1,0,0,0,21.0,3.952,0.0,0.0,0.0,0.0,0.0,21.0,SKAGGS C,20211
162,,ANSC-108-502,18,4,0,0,0,22.0,3.818,0.0,0.0,0.0,0.0,0.0,22.0,SKAGGS C,20211
163,,ANSC-108-503,14,2,0,0,1,17.0,3.647,0.0,0.0,0.0,0.0,0.0,17.0,SKAGGS C,20211
164,,ANSC-108-504,17,1,2,0,0,20.0,3.75,0.0,0.0,0.0,0.0,0.0,20.0,SKAGGS C,20211
165,,ANSC-108-505,16,2,0,0,0,18.0,3.888,0.0,0.0,0.0,0.0,0.0,18.0,SKAGGS C,20211
166,,ANSC-111-501,25,1,1,0,0,27.0,3.888,0.0,0.0,0.0,0.0,0.0,27.0,RAMSEY W,20211
167,,ANSC-111-502,23,2,0,0,0,25.0,3.92,0.0,0.0,0.0,0.0,0.0,25.0,RAMSEY W,20211
168,,ANSC-111-503,24,1,0,0,0,25.0,3.96,0.0,0.0,0.0,0.0,0.0,25.0,RAMSEY W,20211
169,,ANSC-111-504,18,3,0,0.1,0.2,21,3.857,0.3,0.4,0.5,0.6,0.7,21.1,RAMSEY W,20211
170,,ANSC-111-505,21,2,0,0,0,23.0,3.9130000000000003,0.0,0.0,0.0,0.0,0.0,23.0,RAMSEY W,20211
171,,ANSC-111-506,22,1,0,0,1,24.0,3.7910000000000004,0.0,0.0,0.0,1.0,0.0,25.0,RAMSEY W,20211
172,,ANSC-111-507,24,0,0,0,0,24.0,4.0,0.0,0.0,0.0,0.0,0.0,24.0,RAMSEY W,20211
173,,ANSC-111-508,20,2,2,0,0,24.0,3.75,0.0,0.0,0.0,0.0,0.0,24.0,RAMSEY W,20211
174,,ANSC-111-509,21,4,1,0,0,26.0,3.7689999999999997,0.0,0.0,0.0,0.0,0.0,26.0,RAMSEY W,20211
175,,ANSC-111-510,23,0,1,0,1,25.0,3.76,0.0,0.0,0.0,0.0,0.0,25.0,RAMSEY W,20211
176,,ANSC-111-511,20,4,1,0,0,25.0,3.76,0.0,0.0,0.0,0.0,0.0,25.0,RAMSEY W,20211
177,,ANSC-111-512,19,3,0,1,0,23.0,3.739,0.0,0.0,0.0,0.0,0.0,23.0,RAMSEY W,20211
178,,ANSC-111-513,21,2,1,0,0,24.0,3.833,0.0,0.0,0.0,0.0,0.0,24.0,RAMSEY W,20211
179,,ANSC-111-514,23,5,1,0,0,29.0,3.758,0.0,0.0,0.0,0.0,0.0,29.0,RAMSEY W,20211
180,,ANSC-113-200,37,0,0,0,0,37.0,4.0,0.0,0.0,0.0,0.0,0.0,37.0,DUNLAP K,20211
181,,ANSC-113-500,221,82,6,0,1,310,3.683,0.1,0.2,0.3,2,0.4,312,DUNLAP K,20211
182,,ANSC-201-500,58,9,4,0,2,73.0,3.657,0.0,0.0,0.0,3.0,0.0,76.0,SCHOBERT S,20211
183,,ANSC-210-500,79,29,3,3,1,115.0,3.582,0.0,0.0,0.0,0.0,0.0,115.0,ING N,20211
184,,ANSC-211-501,22,1,1,0,0,24.0,3.875,0.0,0.0,0.0,0.0,0.0,24.0,LINNE P,20211
185,,ANSC-215-500,11,6,0,0,0,17.0,3.647,0.0,0.0,0.0,1.0,0.0,18.0,BOARDMAN C,20211
186,,ANSC-221-501,6,0,0,0,0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,SCHOBERT S,20211
187,,ANSC-242-500,27,3,0,0.1,0.2,30,3.900,2,0.3,0.4,0.5,0.6,32,WELSH T,20211
188,,ANSC-289-500,12,0,0,0,0,12.0,4.0,0.0,0.0,0.0,1.0,0.0,13.0,DUNLAP K,20211
189,,ANSC-303-200,15,4,0,0,0,19.0,3.7889999999999997,0.0,0.0,0.0,0.0,0.0,19.0,WICKERSHAM T,20211
190,,ANSC-303-500,59,62,50,0,3,174.0,3.0,1.0,0.0,0.0,14.0,0.0,189.0,WICKERSHAM T,20211
191,,ANSC-305-501,9,10,5,0,0,24.0,3.1660000000000004,0.0,0.0,0.0,0.0,0.0,24.0,RILEY D,20211
192,,ANSC-305-502,3,11,5,2,0,21.0,2.714,0.0,0.0,0.0,1.0,0.0,22.0,RILEY D,20211
193,,ANSC-305-503,7,12,1,2,0,22.0,3.09,0.0,0.0,0.0,1.0,0.0,23.0,RILEY D,20211
194,,ANSC-305-504,7,10,5,1,0,23.0,3.0,0.0,0.0,0.0,1.0,0.0,24.0,RILEY D,20211
195,,ANSC-305-505,10,6,7,3,0,26.0,2.884,0.0,0.0,0.0,1.0,0.0,27.0,SANDERS J,20211
196,,ANSC-305-506,9,9,7,0,0,25.0,3.08,0.0,0.0,0.0,2.0,0.0,27.0,SANDERS J,20211
197,,ANSC-307-201,8,3,0,0,0,11.0,3.727,0.0,0.0,0.0,0.0,0.0,11.0,SAVELL J,20211
198,,ANSC-307-203,7,0,0,0,0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,SAVELL J,20211
199,,ANSC-307-207,6,1,0,0,0,7.0,3.8569999999999998,0.0,0.0,0.0,0.0,0.0,7.0,SAVELL J,20211
200,,ANSC-307-501,4,2,1,0,0,7.0,3.428,0.0,0.0,0.0,0.0,0.0,7.0,SAVELL J,20211
201,,ANSC-307-502,4,10,3,1,0,18.0,2.944,0.0,0.0,0.0,0.0,0.0,18.0,SAVELL J,20211
202,,ANSC-307-503,5,5,2,0,0,12.0,3.25,0.0,0.0,0.0,0.0,0.0,12.0,SAVELL J,20211
203,,ANSC-307-504,8,6,4,1,0,19.0,3.105,0.0,0.0,0.0,1.0,0.0,20.0,SAVELL J,20211
204,,ANSC-307-505,2,9,5,0,0,16.0,2.812,0.0,0.0,0.0,1.0,0.0,17.0,SAVELL J,20211
205,,ANSC-307-506,6,9,2,0,0,17.0,3.235,0.0,0.0,0.0,1.0,0.0,18.0,SAVELL J,20211
206,,ANSC-307-507,5,4,2,0,0,11.0,3.272,0.0,0.0,0.0,0.0,0.0,11.0,SAVELL J,20211
207,,ANSC-307-508,1,8,5,3,1,18.0,2.2769999999999997,0.0,0.0,0.0,0.0,0.0,18.0,SAVELL J,20211
208,,ANSC-309-500,1,6,6.1,3,1.1,17,2.176,0,0.1,0.2,4,0.3,21,KERTH C,20211
209,,ANSC-309-501,1,10,3,0,2,16.0,2.5,0.0,0.0,0.0,5.0,0.0,21.0,KERTH C,20211
210,,ANSC-311-501,9,0,0,0,0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,9.0,LINNE P,20211
211,,ANSC-316-930,6,2,0,0,1,9.0,3.333,0.0,0.0,0.0,1.0,0.0,10.0,SCHOBERT S,20211
212,,ANSC-318-501,5,7,11,1,0,24.0,2.6660000000000004,0.0,0.0,0.0,2.0,0.0,26.0,CARSTENS G,20211
